DATE,sse180,rate,sh.600009,sh.600010,sh.600295,sh.600019,sh.600028,sh.600031,sh.600036,sh.600048,sh.600050,sh.600066,sh.600068,sh.600085,sh.600111,sh.601628,sh.600150,sh.600196,sh.600295.1,sh.600406,sh.601933,sh.600536,sh.600547,sh.600598,sh.600600,sh.600690,sh.600875,sh.600887,sh.600895,sh.601006,sh.601877,sh.601899
2013-01-23,0.004438864,9.03E-05,0.000700869,0.007372417,-0.006831843,0.014084507,0.01017366,-0.016097803,-9.03E-05,-0.002283252,-9.03E-05,-0.024243118,-0.007157408,0.010931774,0.020683777,0.00913751,0.022627074,-0.009115541,-0.006831843,0.002333972,-0.009156096,0.027223842,-0.006437797,-0.024508875,-0.002476193,-0.002976273,0.00060952,0.00459723,-0.001492795,-0.005764029,0.022285862,-9.03E-05
2013-01-24,-0.008361826,9.03E-05,-9.03E-05,-0.018608789,-0.0068776,-0.009920635,0.004263866,0.003737481,-0.023661699,-0.012544482,-0.005804556,-0.011911474,-0.017883864,-0.018920795,-0.023508168,-0.010677373,-0.014613978,-0.010108485,-0.0068776,-0.023064877,-0.017194486,-0.021508291,-0.024577893,0.007061101,-0.003976668,-0.026863063,-0.022467892,-0.00786632,-0.028180158,-0.004369871,-0.014681203,-0.010588958
2013-01-25,-0.004640301,9.03E-05,-0.004042839,-0.009524232,-0.004646079,-0.002004008,-0.010205877,0.010395907,-0.014720848,-0.035698579,-0.005837396,0.035423749,-0.001901864,0.017081447,-0.010652645,-0.031705056,-0.023930755,0.030268516,-0.004646079,0.002384978,0.01447873,-0.003863855,0.001001135,-0.020208613,0.00291093,0.005857685,-0.016542344,0.005003774,-9.03E-05,0.004207724,0.003082654,-9.03E-05
2013-01-28,0.033033851,9.03E-05,0.044354174,0.022766873,0.015928037,0.008032129,0.02180754,0.051796522,0.052619455,0.042217422,0.011470424,0.004963882,0.021688314,0.027715092,0.025876262,0.016484316,0.043426604,0.005266873,0.015928037,0.017193681,0.011078458,0.021879427,0.006178468,0.019233401,-0.005177044,0.040560137,0.023182457,0.031098814,0.023031117,0.035573068,0.008871248,0.00786729
2013-01-29,0.010063256,9.03E-05,-0.008448933,-9.03E-05,0.002161982,-0.001992032,-0.001518841,0.019640672,0.029528912,0.009503826,-9.03E-05,-0.000449465,0.007014526,-0.002022637,0.015657761,-0.013924262,0.000760794,-0.007195066,0.002161982,-0.006158231,-0.01192459,-0.017881226,0.018327932,-0.016677948,-0.037684255,0.004881321,0.005595586,-0.006139419,0.005559448,0.00128714,-0.0027026,0.005172888
2013-01-30,0.004116633,9.03E-05,0.012170266,-0.022436639,0.024628831,0.003992016,0.017077112,-0.005367315,-0.015158763,0.02988049,0.014195444,-0.011947978,0.010491741,-0.002510406,-0.027222053,0.020951814,0.00288592,-0.009034814,0.024628831,-0.002532272,0.023462624,0.011230485,-0.016579632,-0.004909547,0.01459723,-9.03E-05,-0.000796984,-0.015305181,-0.005708248,-0.008343365,-0.006900118,-0.002708071
2013-01-31,0.001519179,9.03E-05,0.00672275,0.013243063,-0.002283252,-0.003976143,-0.005716149,0.017593196,-0.005653552,-0.061836189,0.013994237,0.000273366,0.013871336,-0.030657956,0.001048034,0.011195304,-0.020013966,-0.011823122,-0.002283252,-0.020898104,0.006930011,-0.038149971,0.010185555,0.010805614,0.001449613,-0.013517832,0.028905487,-0.010519007,-0.017039423,-0.002864195,-0.011693646,0.015657761
2013-02-01,0.024210126,9.03E-05,0.003669128,-0.032045157,0.004305334,0.003992016,0.001324157,0.042481407,0.033476164,0.003691878,0.011020841,-0.003361808,-0.005253781,0.000910731,-0.029084016,0.041637047,0.009425301,0.00447594,0.004305334,0.01928473,-0.008610797,0.007667682,-0.007317251,0.015478592,0.009134822,0.014236378,-0.002152126,0.051431978,0.001346512,0.006863833,0.004712291,-0.005258229
2013-02-04,0.003458024,9.03E-05,0.005153176,0.009618468,0.027262028,0.019880716,-0.004327558,0.023243063,-0.01429866,-0.010640383,0.041118521,0.015227017,0.003369938,-0.02609027,-0.014141792,-0.021981281,0.0127632,-0.009181179,0.027262028,-0.001929632,0.02334723,0.002219199,0.020670043,-0.0425431,0.027941418,-0.026926428,-0.022817543,-0.004544613,0.00277917,-0.016664856,-0.020270833,0.005104535
2013-02-05,0.005083565,9.03E-05,0.008851608,0.005678961,0.019079059,0.005847953,-0.021366866,0.051212662,-0.011758081,0.021996554,-0.002728792,0.00924881,0.027495937,0.014796794,0.000206642,-0.03056646,0.014715145,0.01550606,0.019079059,0.009123489,0.010596753,-0.001626368,-0.001146794,0.007298893,0.024805996,-0.007347164,0.007661668,0.048753876,0.004201575,0.011145685,0.016169893,0.010245647
2013-02-06,0.00231213,9.03E-05,-0.014861319,0.001821776,-0.013674387,-0.007751938,-9.03E-05,-0.01403295,-0.002173603,-0.020954652,-0.015963286,-0.001513758,-0.006801679,0.010531885,0.019203289,0.006294799,-0.007593396,-9.03E-05,-0.013674387,0.051035719,-0.01406308,0.092986653,-0.000883501,-9.03E-05,-0.028430351,-0.000821264,0.023685954,-0.002578716,-0.007212777,-0.004256937,0.00150973,-0.010320449
2013-02-07,-0.009625218,9.03E-05,0.005906731,-0.011540652,0.003087696,0.005859375,-9.03E-05,-0.015801189,-0.016095837,-0.00922269,-9.03E-05,0.027350927,-0.001779459,-0.001091271,-0.01261211,-0.019123945,0.00788957,-0.001896955,0.003087696,-0.000669309,0.004122675,-0.036684218,0.020285491,0.001132224,0.01240973,-0.001553328,-0.00282251,0.025569031,-0.008698591,-0.00148497,0.003104618,0.007661668
2013-02-08,0.001056501,9.03E-05,0.005125825,0.007631738,0.005189561,0.005825243,0.01875031,0.001505899,-0.007162406,0.000677779,0.005286074,0.03424896,-0.001782317,0.067043999,0.009346474,0.000904755,-0.00759027,0.016199323,0.005189561,0.012655964,0.006774719,0.041545961,-0.004239648,0.007235737,0.029010259,0.024085554,0.006759045,0.000604657,0.011487154,0.016669507,0.024856651,0.002473833
2013-02-18,-0.011847968,9.03E-05,0.008805208,-0.007753105,-0.00219111,-0.00965251,0.018401906,-0.01762015,-0.006500526,-0.012369625,-0.013459254,-0.02490583,-0.001785185,-9.03E-05,-0.000674553,-0.014006771,-0.003028977,-9.03E-05,-0.00219111,-0.017252741,0.002940033,-0.00640163,-0.044361103,0.0096067,0.005051118,-0.0029515,0.021678437,-0.026131937,0.005632191,0.087821818,0.017517187,-0.025665718
2013-02-19,-0.017493386,9.03E-05,-0.005233547,-0.015534285,-0.022195533,-0.015594542,-9.03E-05,-0.04469692,-0.008692421,-0.050595321,-0.016350433,-0.019003613,-0.02385937,-0.001498721,-0.031952299,-0.027308012,-0.037985007,0.010595393,-0.022195533,-0.029193879,-0.00651021,-0.036787518,-0.015621605,0.00111021,0.016675857,-0.025197874,0.00656752,-0.025045707,-0.014315021,-9.03E-05,-0.012812916,-0.007964286
2013-02-20,0.00362722,9.03E-05,-0.007475794,0.01363522,0.005291861,0,0.016669507,0.001607523,0.000632796,0.01382135,0.005419372,-0.001141795,0.006866252,0.052566053,0.005344513,0.006127347,0.027918483,0.04836788,0.005291861,0.028087188,0.031076587,0.01968995,0.009320192,0.026288627,0.014442989,0.005060576,-0.001413021,0.042688523,0.005681736,-9.03E-05,0.022074678,0.002555233
2013-02-21,-0.036880027,9.03E-05,-0.019435508,-0.02910381,-0.020432882,-0.01980198,-0.027562797,-0.053480101,-0.033327264,-0.007354193,-0.022008078,-0.046055182,-0.043268163,-0.034033995,-0.031922102,-0.03716545,-0.02648448,-0.005972623,-0.020432882,-0.029244789,-0.010779544,-0.002245442,-0.044236143,-0.011772513,-0.02378173,-0.030836976,-0.049759144,-0.006752262,-0.033088835,-0.037969058,-0.008158853,-0.029114017
2013-02-22,-0.005897531,9.03E-05,-0.009953699,0.007877857,0.001002626,0,-0.014214564,-0.006357056,-0.023259179,0.008039811,-0.008493631,-9.03E-05,-0.003700378,-0.01118597,0.046745958,-0.005437864,0.042323372,-0.001780887,0.001002626,-0.005495675,0.042756228,-0.008009636,0.009949891,0.028278524,0.005835238,-0.016706584,-0.014724416,-0.018798353,-9.03E-05,0.011720754,-0.009241261,0.002627121
2013-02-25,0.003614282,9.03E-05,0.008338849,-0.004042839,0.009735058,-0.002020202,0.02713036,0.017927748,-0.002385603,-0.021058012,0.005559448,0.014253239,0.001721324,0.008792385,-0.010164344,0.002060268,-0.002607049,-0.018718551,0.009735058,0.002929054,-0.008664761,0.028211617,-0.001510321,0.007955707,-9.03E-05,0.005286074,0.010517934,-0.014838471,0.005844448,0.015473932,0.01684149,-0.002800297
2013-02-26,-0.014548321,9.03E-05,-0.006169297,-0.01993154,-0.027117297,-0.01417004,-0.005669071,-0.018674341,-0.025397018,-0.018212181,-0.019753191,-0.031997449,-0.023598407,-0.00704115,-0.020443458,-0.019403575,-0.003874963,0.000772543,-0.027117297,-0.016345538,-0.018829009,-0.014910312,-0.011751248,-0.03999905,-0.023652682,-0.016133051,-0.022483552,-0.018710204,-0.020739238,-0.026910193,-0.015226496,-0.010959835
2013-02-27,0.010910159,9.03E-05,-0.00773553,-0.004138853,-0.014534714,0.024640657,-0.005700368,0.017042282,0.010137897,0.038500334,0.008505719,-0.007955439,0.003613434,-0.014555972,-0.002228981,0.009209511,0.012151182,-0.015607511,-0.014534714,0.009701652,0.00541836,-0.058829525,0.009981672,-0.020280294,-0.022497624,0.001462525,0.004204648,-0.001206341,0.011957923,-0.004027278,-0.007262401,0.008151488
2013-02-28,0.031629929,9.03E-05,0.017629299,0.018202413,0.024712436,0.004008016,0.019655851,0.045122496,0.035735275,0.035450925,0.011273366,0.041057333,0.022049951,0.011273366,0.019199381,0.024299974,0.011586127,0.015671551,0.024712436,0.016879427,0.029858598,0.00447594,0.005607736,0.024152154,0.026944699,0.021615156,0.024143515,0.026725372,0.019254968,0.034165329,0.013325623,0.008084117
2013-03-01,-0.003877558,9.03E-05,0.000666732,-0.004082286,-0.00889115,-0.001996008,-0.002856522,-0.000938446,-0.017383503,-0.014910863,-0.008517236,-0.002990923,0.003519838,0.014422839,-0.009101985,-0.028661699,-0.009158695,0.028358006,-0.00889115,-0.02214033,0.022604765,-0.003878149,-0.008588854,0.007010322,0.003057083,0.004462082,0.027049605,-0.003717401,0.011588562,0.006279157,0.00601971,-0.002792973
2013-03-04,-0.04794508,9.03E-05,-0.012193144,-0.04017043,-0.044485387,-0.012,-0.009799008,-0.08582881,-0.061299145,-0.09985274,-0.02275316,-0.049181179,-0.034262932,-0.009781087,-0.032524341,-0.057824475,-0.037111901,-0.019369398,-0.044485387,-0.022637497,-0.001823973,-0.046478103,-0.019233127,-0.005965711,0.002761983,-0.057492083,-0.01906046,0.024299974,-0.047709318,0.018897072,-0.023369622,-0.016350433
