sz.000667,sz.000608,sz.000002,sz.000668,sz.000402,sz.000691,sz.000560,sz.000573,
-0.00306646,-9.03E-05,-0.035588759,0.004113934,-0.010073631,-0.012341419,-0.004569553,-0.006206478,
-0.012030569,-0.007782578,-0.021233575,-0.01085582,-0.016896993,-0.021795696,-0.009089145,-0.017013347,
-9.03E-05,-0.018178125,0.00630973,0.005955679,0.003328534,0.014172804,-0.006900713,0.004604566,
-9.03E-05,-0.004037638,-0.007641939,0.003515499,-0.001793848,0.01240973,0.006766873,0.009255524,
-9.03E-05,-0.018584325,-0.016109493,0.004101347,0.011855122,0.026144298,0.003314951,0.00145294,
-9.03E-05,-0.001436165,-0.028987299,-0.000686573,-0.030444401,-0.006105308,-0.002352713,-0.010876094,
0.005952026,-0.002785688,0.028409311,0.002893024,0.004257556,0.002935449,-0.002357844,0.007697892,
-0.003093273,-0.001441621,-0.013130205,0.001694382,-0.00961408,0.039125416,0.006727912,-0.00627265,
0.002921778,-0.00279663,0.018076534,0.000503554,0.013895744,0.012972139,0.030383771,-0.0047559,
0.002912733,0.001266582,-0.009417115,0.020087772,0.006806282,0.008505719,-0.009947882,-0.01571527,
-0.003084282,0.002619757,0.013008379,-0.011143208,-0.006939585,-0.024237997,-0.005621243,-0.008026778,
-0.006096276,-0.010901081,0.028596598,-0.026560858,0.003358006,-0.003001478,-0.014550782,0.02230973,
-9.03E-05,-9.03E-05,-0.040545886,0.004743567,0.010219008,0.011588562,-0.003476275,-0.014174777,
-0.003111418,-9.03E-05,0.006459054,-0.012718051,0.019467553,-0.02029229,-0.002355276,-0.012788683,
-0.039484209,-0.019215953,-9.03E-05,-0.028104886,-0.004260412,-0.050163908,-0.056843959,-0.046714064,
0.006218878,0.009659034,0.028783256,-0.001343403,0.019172711,-0.037299572,0.013146794,0.008341433,
0.015583711,0.004047661,-0.006414381,-0.001344975,0.018808662,0.014402484,0.002285027,0.013287656,
0.012255409,0.017766873,0.008262952,0.006819278,-0.002509625,0.007846238,0.018867076,0.03621336,
-0.006187831,-9.03E-05,-0.022575477,-0.003209422,-0.017875233,-0.001665073,0.059212056,0.006279157,
0.015247153,0.001259258,-0.039638293,0.00554177,0.01719368,0.044073768,-0.016555693,0.003074287,
-0.012174862,0.01203911,-0.022779346,0.039735492,-0.029216483,-0.004621992,-0.025759913,-0.015863141,
-9.03E-05,-0.016068965,0.006788492,-0.018043591,-0.016756937,-0.018299678,0.099566087,-0.009705655,
